               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067804,            0.023084,            0.063513,             0.10045,             0.32716,             0.13989,            0.055616,            0.030028,           0.0077371,            0.040907,            0.070091,           0.0033233,           0.0033233
                   1,            0.045867,            0.014894,            0.053315,             0.50231,             0.49136,             0.51001,             0.26319,            0.022883,           0.0054587,            0.031019,            0.040077,           0.0066434,           0.0066434
                   2,            0.044453,             0.01228,             0.04113,             0.55378,             0.57253,             0.50326,             0.26391,            0.026874,           0.0062275,             0.02182,            0.010051,           0.0099504,           0.0099504
                   3,             0.04237,            0.011451,            0.030865,             0.65583,             0.83148,             0.79768,             0.50119,             0.01953,           0.0047703,            0.013314,           0.0099406,           0.0099406,           0.0099406
                   4,            0.038295,            0.010933,            0.026042,             0.76375,             0.89296,             0.88265,             0.58014,            0.020186,            0.004377,           0.0097268,           0.0099406,           0.0099406,           0.0099406
                   5,            0.035874,            0.010536,            0.023104,             0.67223,             0.57035,             0.66261,             0.37672,            0.024527,           0.0075463,            0.020175,           0.0099208,           0.0099208,           0.0099208
                   6,            0.034914,            0.010697,             0.02287,             0.87355,             0.93343,             0.91629,             0.63313,            0.018749,           0.0043639,           0.0076567,            0.009901,            0.009901,            0.009901
                   7,            0.034626,            0.010259,              0.0195,             0.82965,             0.95957,             0.92421,             0.63172,            0.017844,           0.0040336,           0.0060126,           0.0098812,           0.0098812,           0.0098812
                   8,            0.032751,           0.0098697,            0.017068,             0.89266,             0.92175,             0.93578,             0.68469,             0.01658,           0.0039003,           0.0065375,           0.0098614,           0.0098614,           0.0098614
                   9,            0.032318,           0.0097044,            0.018167,             0.88323,             0.95515,             0.93966,             0.67644,            0.015717,           0.0039568,           0.0058833,           0.0098416,           0.0098416,           0.0098416
                  10,            0.031186,           0.0096783,            0.018119,             0.90354,             0.96011,             0.95847,             0.67134,            0.016237,           0.0039006,           0.0056676,           0.0098218,           0.0098218,           0.0098218
                  11,            0.030664,           0.0094156,            0.016851,             0.91289,             0.95597,             0.96157,             0.74629,            0.014819,           0.0035632,           0.0050308,            0.009802,            0.009802,            0.009802
                  12,            0.029587,           0.0091516,            0.014261,             0.92877,             0.91469,             0.95526,             0.72845,            0.013238,           0.0039083,            0.005342,           0.0097822,           0.0097822,           0.0097822
                  13,            0.028541,           0.0092399,            0.014359,             0.95889,              0.9202,             0.97126,             0.75756,            0.015925,           0.0035476,           0.0046217,           0.0097624,           0.0097624,           0.0097624
                  14,            0.029702,           0.0090073,            0.013277,             0.95431,             0.97114,             0.98444,              0.7742,            0.013253,           0.0035336,           0.0038553,           0.0097426,           0.0097426,           0.0097426
                  15,             0.02831,           0.0090726,            0.013147,              0.9487,             0.97525,             0.98972,             0.77442,            0.012535,           0.0034988,           0.0032084,           0.0097228,           0.0097228,           0.0097228
                  16,            0.027938,           0.0087726,            0.011612,             0.98825,             0.97254,             0.98904,             0.78076,            0.012685,           0.0033831,           0.0026426,            0.009703,            0.009703,            0.009703
                  17,            0.027099,           0.0088686,            0.011588,             0.98839,             0.98302,              0.9927,             0.78498,            0.012141,           0.0034022,           0.0021795,           0.0096832,           0.0096832,           0.0096832
                  18,            0.027146,           0.0088106,            0.012971,             0.95442,             0.96927,             0.98239,             0.77698,             0.01196,           0.0034779,           0.0031412,           0.0096634,           0.0096634,           0.0096634
                  19,            0.026508,           0.0086278,            0.010769,             0.96225,             0.97491,             0.98992,             0.79017,            0.012827,           0.0034151,           0.0026079,           0.0096436,           0.0096436,           0.0096436
                  20,            0.026636,           0.0086219,             0.01135,             0.97396,             0.98183,             0.99051,             0.79324,            0.012811,           0.0033382,           0.0021097,           0.0096238,           0.0096238,           0.0096238
                  21,            0.026133,           0.0085982,            0.011137,             0.98953,             0.97995,             0.99288,             0.81063,            0.011455,           0.0032677,            0.001888,            0.009604,            0.009604,            0.009604
                  22,            0.025646,            0.008519,           0.0099302,             0.98508,             0.99122,             0.99326,             0.79708,            0.011581,           0.0031684,           0.0016738,           0.0095842,           0.0095842,           0.0095842
                  23,            0.025351,           0.0080218,             0.00963,             0.98923,             0.98422,             0.99287,             0.81473,            0.010638,           0.0030654,           0.0018222,           0.0095644,           0.0095644,           0.0095644
                  24,            0.025061,           0.0082726,             0.01046,              0.9734,             0.97095,             0.99023,             0.80344,            0.011356,           0.0032672,           0.0024978,           0.0095446,           0.0095446,           0.0095446
                  25,            0.024668,           0.0084899,            0.010233,             0.98975,             0.97578,             0.99335,              0.8245,            0.010748,           0.0030987,           0.0019581,           0.0095248,           0.0095248,           0.0095248
                  26,            0.024531,           0.0085436,            0.010212,             0.98942,             0.98114,             0.99216,             0.80657,            0.011236,           0.0031714,           0.0019406,            0.009505,            0.009505,            0.009505
                  27,            0.023943,           0.0080003,           0.0095292,              0.9805,             0.98198,             0.99183,             0.82482,           0.0098358,           0.0030277,           0.0019253,           0.0094852,           0.0094852,           0.0094852
                  28,            0.023716,            0.008146,           0.0092584,             0.97731,             0.97559,             0.99011,             0.80722,            0.011098,           0.0033374,           0.0020287,           0.0094654,           0.0094654,           0.0094654
                  29,            0.024175,           0.0081481,           0.0093528,             0.99163,             0.98717,             0.99359,             0.81515,            0.010719,           0.0031841,           0.0013945,           0.0094456,           0.0094456,           0.0094456
                  30,            0.023632,           0.0081773,           0.0093757,             0.98736,             0.98444,             0.99231,             0.81179,            0.010674,           0.0031473,           0.0016977,           0.0094258,           0.0094258,           0.0094258
                  31,            0.023219,           0.0080479,           0.0094047,             0.98783,              0.9799,             0.99235,             0.82858,            0.010622,           0.0031306,           0.0017165,            0.009406,            0.009406,            0.009406
                  32,            0.023842,           0.0078393,           0.0083791,             0.98556,             0.99082,             0.99405,               0.841,           0.0098624,           0.0030363,           0.0014715,           0.0093862,           0.0093862,           0.0093862
                  33,              0.0234,           0.0079526,           0.0083437,             0.99533,             0.98581,             0.99404,             0.82644,            0.009734,           0.0029341,           0.0014296,           0.0093664,           0.0093664,           0.0093664
                  34,            0.022768,           0.0076303,           0.0077834,              0.9897,             0.98245,             0.99289,             0.82488,            0.010432,           0.0029451,           0.0016021,           0.0093466,           0.0093466,           0.0093466
                  35,            0.022953,           0.0077975,           0.0077103,             0.99049,             0.98768,             0.99259,             0.83674,            0.009275,           0.0028921,           0.0013863,           0.0093268,           0.0093268,           0.0093268
                  36,             0.02322,           0.0076604,           0.0072985,             0.98828,             0.97616,             0.99192,             0.82908,           0.0092689,           0.0030138,           0.0018605,            0.009307,            0.009307,            0.009307
                  37,            0.021939,           0.0077006,           0.0073322,               0.987,             0.98295,             0.99289,             0.84846,           0.0092797,           0.0030058,            0.001697,           0.0092872,           0.0092872,           0.0092872
                  38,            0.023081,           0.0079111,           0.0078473,             0.98968,             0.98644,              0.9934,             0.83418,           0.0099962,           0.0030705,           0.0016602,           0.0092674,           0.0092674,           0.0092674
                  39,            0.022626,           0.0075607,           0.0074327,             0.99062,             0.98894,             0.99323,             0.84427,           0.0092348,           0.0028471,            0.001306,           0.0092476,           0.0092476,           0.0092476
                  40,            0.022215,           0.0075574,           0.0075178,             0.98959,             0.98697,             0.99249,              0.8395,           0.0096654,           0.0029113,           0.0014805,           0.0092278,           0.0092278,           0.0092278
                  41,            0.021859,           0.0076405,           0.0074762,             0.99373,             0.99294,             0.99407,             0.84933,           0.0092759,           0.0027897,           0.0010771,            0.009208,            0.009208,            0.009208
                  42,            0.022252,           0.0076244,           0.0077394,             0.99349,             0.98611,             0.99322,             0.83581,           0.0098881,           0.0029336,           0.0014167,           0.0091882,           0.0091882,           0.0091882
